student_id,age,gender,school_type,location,math_score,english_score,science_score,history_score,attendance_rate,study_hours_per_week,parental_education_level,household_income,internet_access,recommended_stream,parental_career,extracurricular_activity,interest
S0022,19,Female,Public,Rural,87,89,56,75,55,25,Secondary,9476,No,Business,Arts,Sports,Healthcare
S0023,18,Male,Public,Urban,58,87,71,77,55,25,Primary,2769,No,Humanities,Business,Entrepreneurship Club,Business
S0024,15,Male,Public,Urban,64,44,57,96,93,26,Secondary,4391,No,Humanities,Education,Music,Humanities
S0025,15,Female,Public,Rural,100,99,98,58,70,17,Secondary,7611,No,Healthcare,Education,Science Club,Humanities
S0026,17,Female,Private,Urban,75,68,56,68,81,30,Secondary,9581,No,STEM,Arts,Sports,Healthcare
S0027,17,Male,Public,Rural,86,70,87,89,64,12,Primary,8949,No,Business,Technology,Music,Business
S0028,16,Male,Private,Urban,78,73,59,71,52,15,Primary,4433,No,STEM,Technology,Entrepreneurship Club,Humanities
S0029,18,Male,Private,Rural,51,62,80,46,45,14,Secondary,7311,No,Business,Healthcare,Science Club,Humanities
S0030,18,Male,Private,Urban,82,58,68,96,83,20,Secondary,7051,No,Arts,Technology,Music,Arts
S0031,17,Female,Public,Urban,88,70,54,84,48,3,Tertiary,8420,No,Healthcare,Healthcare,Music,Business
S0032,18,Female,Public,Urban,84,98,61,91,84,6,Secondary,3184,Yes,STEM,Technology,Entrepreneurship Club,Humanities
S0033,18,Male,Private,Urban,72,94,74,56,75,21,Tertiary,6555,No,STEM,Arts,Entrepreneurship Club,Humanities
S0034,15,Female,Private,Rural,57,60,58,89,95,7,Primary,5385,No,STEM,Arts,Sports,Humanities
S0035,17,Female,Private,Urban,85,83,65,64,82,12,Primary,6117,No,Business,Business,Sports,Arts
S0036,19,Male,Public,Urban,77,84,83,95,59,11,Secondary,8396,Yes,Healthcare,Arts,None,Arts
S0037,17,Female,Public,Rural,65,56,97,52,57,21,Primary,6843,Yes,STEM,Business,None,STEM
S0038,19,Female,Private,Rural,64,59,61,81,82,14,Secondary,4904,No,STEM,Healthcare,Music,Business
S0039,15,Male,Public,Rural,78,58,86,70,60,6,Primary,9728,No,Healthcare,Business,None,Arts
S0040,16,Male,Private,Urban,64,83,87,47,43,24,Tertiary,2474,No,Humanities,Business,None,Healthcare
S0041,18,Male,Private,Urban,48,56,39,59,89,8,Secondary,3082,Yes,Arts,Healthcare,Science Club,Humanities
S0042,15,Male,Private,Urban,47,65,80,91,72,22,Primary,4558,No,Healthcare,Arts,Science Club,Healthcare
S0043,18,Male,Public,Rural,38,93,58,56,66,17,Secondary,9849,Yes,Arts,Arts,Sports,STEM
S0044,16,Female,Private,Rural,55,76,44,75,46,26,Primary,4047,No,Humanities,Arts,None,Healthcare
S0045,16,Female,Public,Urban,51,89,62,82,45,3,Tertiary,9643,No,Humanities,Education,None,Humanities
S0046,15,Male,Public,Urban,90,68,59,92,54,6,Tertiary,4747,Yes,Healthcare,Arts,Music,Business
S0047,16,Female,Public,Urban,58,75,86,48,57,19,Tertiary,2975,No,Arts,Business,Music,STEM
S0048,19,Male,Private,Urban,49,53,48,46,71,21,Primary,3806,Yes,Healthcare,Healthcare,None,Business
S0049,16,Male,Public,Urban,56,87,54,55,95,15,Secondary,2189,Yes,Healthcare,Healthcare,Music,STEM
S0050,18,Female,Public,Urban,64,86,51,90,50,19,Primary,9101,No,STEM,Arts,Entrepreneurship Club,Healthcare
S0051,18,Female,Private,Urban,77,76,98,61,59,22,Secondary,4734,No,Arts,Technology,Sports,Humanities
S0052,18,Female,Public,Urban,39,73,94,68,63,25,Secondary,5005,No,Healthcare,Business,None,Healthcare
S0053,18,Female,Private,Urban,66,99,92,90,54,9,Secondary,6658,No,Humanities,Healthcare,None,Business
S0054,19,Male,Public,Rural,45,87,94,84,87,29,Primary,3899,No,STEM,Education,Entrepreneurship Club,Arts
S0055,17,Male,Private,Rural,77,90,100,78,46,20,Primary,9734,Yes,Humanities,Arts,Music,Business
S0056,15,Female,Private,Rural,58,74,60,88,60,9,Secondary,3267,Yes,STEM,Healthcare,Sports,Business
S0057,18,Female,Private,Rural,49,60,85,71,81,17,Primary,8975,No,Arts,Education,Science Club,STEM
S0058,16,Female,Private,Rural,59,93,96,45,65,10,Secondary,3528,Yes,Arts,Business,None,Humanities
S0059,18,Male,Public,Urban,52,88,58,91,83,21,Tertiary,5202,No,Humanities,Arts,Music,Arts
S0060,16,Male,Private,Urban,49,94,99,97,95,8,Primary,5556,Yes,Humanities,Education,None,STEM
S0061,16,Male,Public,Rural,67,62,80,78,53,12,Tertiary,5890,Yes,Humanities,Business,Sports,Healthcare
S0062,18,Male,Private,Urban,46,97,94,82,76,20,Secondary,2646,No,Humanities,Healthcare,Music,Business
S0063,19,Male,Public,Rural,67,89,73,46,60,12,Primary,8164,Yes,STEM,Technology,Science Club,STEM
S0064,16,Female,Private,Rural,96,45,82,67,57,27,Tertiary,4888,Yes,Arts,Education,Music,Arts
S0065,16,Male,Private,Rural,75,99,51,60,44,5,Primary,8310,Yes,Healthcare,Education,Entrepreneurship Club,Healthcare
S0066,18,Male,Public,Urban,72,94,66,58,42,21,Secondary,7393,No,STEM,Business,Science Club,Humanities
S0067,16,Male,Private,Urban,66,88,48,58,62,20,Tertiary,4435,Yes,Humanities,Healthcare,Science Club,STEM
S0068,16,Female,Private,Rural,56,79,77,70,65,15,Primary,2600,No,Business,Technology,None,Business
S0069,18,Male,Public,Urban,42,70,98,53,76,30,Primary,4363,No,Healthcare,Technology,Music,Arts
S0070,18,Male,Public,Rural,88,51,94,91,63,7,Primary,4061,No,Healthcare,Technology,None,Humanities
S0071,15,Female,Public,Rural,60,44,63,91,88,18,Primary,2241,No,Humanities,Education,None,Healthcare
S0072,19,Female,Public,Urban,98,39,55,94,58,25,Primary,4041,Yes,Business,Education,Music,Business
S0073,19,Male,Private,Urban,85,55,47,52,90,13,Primary,4824,No,Business,Business,None,Arts
S0074,16,Female,Private,Rural,87,87,96,85,64,22,Tertiary,9513,No,Arts,Healthcare,Music,Humanities
S0075,19,Male,Private,Urban,44,83,72,97,60,31,Tertiary,4612,No,Healthcare,Healthcare,Music,STEM
S0076,16,Male,Private,Urban,69,65,78,53,51,27,Secondary,9041,Yes,STEM,Technology,Music,Business
S0077,15,Male,Private,Urban,80,59,100,69,80,15,Primary,3363,Yes,Humanities,Healthcare,None,STEM
S0078,18,Male,Public,Rural,41,44,56,60,72,28,Primary,8235,No,Arts,Technology,None,STEM
S0079,18,Male,Public,Urban,59,83,70,65,89,28,Tertiary,7486,Yes,Arts,Arts,Science Club,Healthcare
S0080,18,Female,Private,Urban,54,56,77,88,92,5,Tertiary,9099,No,STEM,Technology,Entrepreneurship Club,Arts
S0081,19,Male,Public,Rural,88,99,41,90,43,27,Tertiary,3478,Yes,STEM,Business,Entrepreneurship Club,Healthcare
S0082,15,Female,Private,Urban,69,48,100,91,81,27,Primary,9595,Yes,Business,Technology,None,Healthcare
S0083,19,Male,Private,Rural,49,77,41,45,46,19,Tertiary,4556,No,Humanities,Education,Sports,Business
S0084,19,Female,Public,Urban,59,50,69,47,61,12,Secondary,2775,Yes,Healthcare,Business,Science Club,Business
S0085,15,Male,Public,Urban,74,61,45,86,94,23,Secondary,6014,Yes,Healthcare,Healthcare,Science Club,Arts
S0086,15,Female,Public,Rural,43,54,42,76,72,14,Primary,2034,Yes,Healthcare,Arts,Sports,STEM
S0087,15,Female,Public,Urban,59,44,76,88,56,22,Primary,8349,No,Humanities,Education,Entrepreneurship Club,Humanities
S0088,15,Female,Private,Rural,49,100,86,51,63,28,Secondary,5152,Yes,STEM,Technology,Entrepreneurship Club,Humanities
S0089,18,Female,Private,Rural,39,94,65,48,73,15,Primary,3955,Yes,Arts,Business,Music,Healthcare
S0090,17,Male,Private,Rural,89,52,76,87,67,13,Secondary,3585,Yes,Humanities,Business,Science Club,Arts
S0091,17,Male,Public,Urban,99,89,93,88,82,20,Secondary,5943,Yes,Arts,Healthcare,Science Club,Healthcare
S0092,15,Male,Public,Rural,51,39,90,59,80,21,Secondary,9555,Yes,STEM,Arts,Entrepreneurship Club,Business
S0093,17,Female,Private,Rural,75,52,59,54,78,21,Secondary,5073,Yes,STEM,Business,Entrepreneurship Club,Healthcare
S0094,17,Male,Private,Rural,69,82,71,91,61,5,Secondary,3021,Yes,STEM,Education,Science Club,STEM
S0095,15,Male,Private,Urban,71,85,93,73,88,13,Primary,5461,No,Business,Healthcare,Science Club,STEM
S0096,17,Male,Public,Rural,47,68,92,73,56,15,Tertiary,4613,No,Humanities,Arts,Entrepreneurship Club,Humanities
S0097,19,Female,Public,Rural,74,96,64,45,73,18,Tertiary,7225,Yes,Arts,Arts,Science Club,Arts
S0098,16,Female,Public,Rural,56,84,49,56,45,6,Tertiary,5843,Yes,Humanities,Arts,Music,Business
S0099,16,Female,Public,Rural,55,46,71,80,85,13,Secondary,9989,No,Humanities,Education,Science Club,Healthcare
S0100,15,Male,Private,Rural,55,54,45,47,45,24,Primary,3500,No,STEM,Technology,Music,Business
S0101,18,Male,Private,Rural,71,95,90,100,73,16,Secondary,6798,Yes,Business,Technology,Music,Business
S0102,15,Male,Private,Urban,100,82,93,44,40,31,Secondary,8545,Yes,STEM,Education,Entrepreneurship Club,Business
S0103,18,Female,Public,Rural,49,94,64,57,49,10,Primary,8873,No,Humanities,Business,Entrepreneurship Club,Healthcare
S0104,16,Female,Private,Rural,71,89,62,91,60,22,Tertiary,7675,Yes,Arts,Technology,Entrepreneurship Club,Business
S0105,15,Male,Public,Urban,72,58,43,88,44,21,Primary,2161,No,STEM,Technology,Science Club,STEM
S0106,19,Female,Private,Rural,80,76,86,68,41,18,Tertiary,6297,Yes,Humanities,Healthcare,Sports,Humanities
S0107,17,Male,Private,Urban,40,79,60,90,61,6,Tertiary,3981,Yes,Healthcare,Education,None,Business
S0108,18,Male,Private,Urban,99,81,77,53,87,11,Primary,2995,No,STEM,Business,Science Club,Arts
S0109,17,Male,Private,Rural,60,64,42,84,41,25,Tertiary,8413,No,Arts,Business,Science Club,Healthcare
S0110,17,Male,Private,Urban,56,89,87,75,49,12,Primary,6911,No,Healthcare,Arts,Entrepreneurship Club,Business
S0111,15,Female,Private,Urban,66,42,71,56,73,18,Primary,5342,No,Business,Business,Music,Healthcare
S0112,17,Male,Private,Urban,86,63,96,67,55,18,Secondary,6551,No,STEM,Arts,None,Healthcare
S0113,19,Male,Public,Rural,40,71,49,62,87,31,Primary,9629,Yes,Arts,Arts,Sports,Arts
S0114,17,Male,Public,Rural,61,62,44,84,90,10,Secondary,5798,Yes,Business,Education,None,Humanities
S0115,15,Female,Private,Rural,72,92,46,39,78,8,Secondary,3275,No,Healthcare,Business,Music,Humanities
S0116,19,Male,Private,Rural,50,56,77,90,61,17,Secondary,3016,Yes,STEM,Technology,None,STEM
S0117,16,Male,Public,Urban,59,52,60,44,51,24,Primary,9869,No,Business,Arts,Sports,Business
S0118,17,Female,Private,Rural,40,40,75,76,63,31,Secondary,8439,Yes,Healthcare,Arts,None,Business
S0119,15,Male,Public,Rural,49,77,66,60,86,23,Tertiary,9892,No,Humanities,Education,Entrepreneurship Club,Humanities
S0120,16,Female,Public,Urban,89,43,67,58,79,18,Secondary,8863,Yes,Healthcare,Business,Music,Business
S0121,16,Male,Public,Rural,70,66,39,51,77,22,Tertiary,9916,No,Arts,Education,Sports,STEM
S0122,18,Male,Public,Rural,95,38,50,43,49,8,Primary,2337,No,Arts,Arts,Music,Humanities
S0123,19,Female,Private,Rural,53,81,81,79,74,18,Secondary,2878,No,Humanities,Technology,Sports,Humanities
S0124,17,Female,Public,Urban,43,82,59,67,90,17,Primary,3076,Yes,Arts,Healthcare,Music,Humanities
S0125,15,Male,Private,Urban,67,85,90,77,88,24,Tertiary,6887,No,Healthcare,Healthcare,Music,Business
S0126,18,Male,Private,Urban,59,69,77,99,71,21,Primary,5993,Yes,STEM,Technology,Music,STEM
S0127,19,Female,Public,Rural,43,41,54,69,46,25,Secondary,8360,No,Arts,Technology,Sports,Humanities
S0128,18,Female,Public,Urban,70,61,91,91,60,14,Primary,6859,Yes,Healthcare,Business,Sports,Business
S0129,19,Female,Public,Rural,59,94,56,74,59,5,Secondary,8331,Yes,Business,Education,Science Club,Business
S0130,19,Female,Public,Rural,48,76,82,82,65,23,Tertiary,2379,Yes,Arts,Business,Music,Healthcare
S0131,17,Female,Public,Urban,64,42,91,76,43,6,Secondary,2492,Yes,Healthcare,Healthcare,Science Club,STEM
S0132,19,Male,Public,Rural,90,85,57,53,85,24,Tertiary,9208,No,STEM,Arts,Science Club,Business
S0133,18,Female,Public,Urban,95,97,77,91,91,19,Secondary,7276,No,Healthcare,Healthcare,Music,Business
S0134,19,Female,Private,Rural,41,82,54,49,61,13,Primary,4062,Yes,Healthcare,Arts,Science Club,Arts
S0135,17,Female,Public,Urban,59,98,69,70,54,25,Primary,5884,Yes,Humanities,Healthcare,Science Club,Arts
S0136,17,Male,Public,Rural,55,81,86,93,95,10,Primary,2064,Yes,Humanities,Technology,None,Healthcare
S0137,18,Male,Private,Rural,94,95,64,77,79,24,Secondary,4568,No,Arts,Business,None,Healthcare
S0138,16,Female,Public,Rural,69,94,64,47,60,17,Secondary,7463,No,STEM,Healthcare,None,Business
S0139,16,Female,Private,Urban,47,69,74,72,54,13,Tertiary,7248,Yes,Healthcare,Technology,Entrepreneurship Club,Business
S0140,19,Male,Private,Rural,44,62,63,46,61,17,Secondary,4027,Yes,Healthcare,Business,Science Club,Humanities
S0141,15,Female,Public,Rural,78,58,94,40,91,5,Primary,4695,Yes,Humanities,Technology,Music,Humanities
S0142,19,Female,Private,Urban,84,67,78,39,67,23,Secondary,3495,Yes,Arts,Business,Music,Humanities
S0143,18,Female,Private,Rural,56,80,58,71,53,15,Secondary,9230,No,Healthcare,Business,Sports,STEM
S0144,18,Male,Private,Urban,74,57,98,67,66,8,Tertiary,7258,No,STEM,Healthcare,Sports,STEM
S0145,18,Male,Public,Urban,79,64,63,81,80,30,Primary,7618,Yes,STEM,Technology,Science Club,Humanities
S0146,18,Male,Private,Urban,100,65,95,38,79,20,Secondary,8736,No,Humanities,Technology,Sports,Business
S0147,18,Male,Public,Urban,92,84,48,56,67,20,Primary,2391,No,Healthcare,Healthcare,Music,Humanities
S0148,17,Female,Public,Urban,69,85,92,75,65,30,Primary,7794,No,Humanities,Healthcare,Music,Humanities
S0149,16,Female,Public,Urban,95,64,41,51,88,6,Tertiary,6514,Yes,Humanities,Healthcare,None,Arts
S0150,18,Female,Private,Urban,76,65,69,77,41,10,Tertiary,8432,Yes,Humanities,Arts,Science Club,Humanities
S0151,15,Male,Private,Urban,100,69,72,43,64,12,Secondary,6474,No,Healthcare,Business,Sports,Humanities
S0152,15,Female,Private,Rural,74,45,39,49,95,7,Tertiary,7892,Yes,STEM,Technology,Music,Arts
S0153,15,Male,Public,Urban,75,71,60,99,42,20,Tertiary,5561,No,Arts,Business,Entrepreneurship Club,Humanities
S0154,15,Male,Public,Rural,94,89,49,45,47,19,Tertiary,4278,Yes,Healthcare,Education,Sports,Healthcare
S0155,17,Female,Private,Urban,71,69,89,38,83,9,Primary,9161,No,Arts,Healthcare,Entrepreneurship Club,Humanities
S0156,15,Male,Private,Urban,94,50,46,80,72,24,Secondary,8184,Yes,Humanities,Business,Sports,Arts
S0157,18,Female,Private,Urban,73,92,65,71,81,23,Tertiary,5099,No,Humanities,Business,Science Club,Healthcare
S0158,19,Female,Public,Urban,42,53,84,36,91,5,Tertiary,8278,No,Business,Education,Music,Humanities
S0159,15,Female,Private,Urban,62,54,39,84,74,10,Tertiary,2200,No,Humanities,Business,Music,Healthcare
S0160,17,Female,Public,Rural,63,57,68,59,45,21,Primary,7959,Yes,Humanities,Technology,Science Club,Humanities
S0161,17,Male,Public,Urban,60,93,77,45,78,18,Primary,6875,Yes,Business,Technology,Science Club,Business
S0162,15,Female,Public,Rural,49,68,61,68,91,10,Secondary,9073,No,STEM,Education,None,Humanities
S0163,19,Female,Public,Rural,47,77,89,85,62,14,Primary,5104,No,Arts,Arts,Sports,Business
S0164,15,Female,Public,Urban,81,63,77,55,64,12,Secondary,9215,Yes,Business,Business,Science Club,Business
S0165,17,Male,Public,Urban,63,51,36,39,89,23,Primary,6598,Yes,Business,Education,Science Club,Arts
S0166,16,Male,Private,Urban,47,43,45,67,82,21,Tertiary,4454,No,Healthcare,Technology,Music,Arts
S0167,18,Male,Public,Urban,91,80,67,65,58,29,Primary,5645,No,Humanities,Business,Entrepreneurship Club,STEM
S0168,17,Male,Public,Urban,42,50,81,74,44,7,Primary,7847,Yes,Humanities,Arts,Science Club,Business
S0169,15,Male,Private,Rural,69,89,46,54,90,27,Secondary,2804,Yes,Arts,Business,None,Business
S0170,18,Female,Private,Urban,61,80,57,72,50,10,Tertiary,8242,Yes,Humanities,Education,Sports,Business
S0171,15,Female,Private,Rural,98,91,66,46,95,15,Tertiary,4731,No,Arts,Arts,Science Club,Humanities
S0172,15,Male,Public,Rural,77,78,57,43,51,8,Tertiary,7991,Yes,STEM,Healthcare,Entrepreneurship Club,Humanities
S0173,16,Female,Private,Rural,54,64,51,49,49,25,Primary,4773,No,Healthcare,Business,Entrepreneurship Club,Business
S0174,18,Male,Private,Urban,62,55,55,96,47,26,Primary,3570,Yes,Arts,Healthcare,Science Club,Arts
S0175,18,Male,Public,Urban,45,94,43,56,63,12,Primary,7056,No,Business,Technology,None,Healthcare
S0176,16,Male,Public,Urban,63,78,63,79,67,17,Tertiary,9906,Yes,Humanities,Technology,Science Club,Humanities
S0177,17,Female,Public,Rural,100,100,68,69,80,14,Tertiary,8756,No,Business,Technology,None,STEM
S0178,15,Male,Private,Rural,90,57,43,74,75,15,Tertiary,7581,Yes,Arts,Healthcare,Music,Business
S0179,19,Female,Public,Rural,81,39,58,79,76,17,Tertiary,4690,No,Healthcare,Healthcare,None,Humanities
S0180,15,Male,Private,Rural,40,88,100,56,60,27,Primary,5840,No,Healthcare,Arts,Science Club,Arts
S0181,15,Female,Private,Urban,44,71,85,99,47,19,Tertiary,3028,No,Humanities,Business,Science Club,Arts
S0182,17,Male,Private,Rural,49,64,39,82,94,14,Primary,9385,Yes,Arts,Business,Science Club,Healthcare
S0183,15,Female,Public,Rural,60,44,97,51,48,11,Primary,2502,No,Business,Technology,Music,Arts
S0184,16,Male,Public,Rural,60,40,70,42,86,29,Tertiary,8910,No,Business,Education,Sports,Humanities
S0185,16,Male,Public,Urban,92,51,85,75,54,13,Secondary,6493,Yes,Business,Education,Science Club,Arts
S0186,18,Female,Private,Urban,84,57,92,53,87,15,Secondary,2870,Yes,Humanities,Arts,Science Club,Business
S0187,19,Female,Public,Urban,58,76,74,92,85,5,Secondary,8938,Yes,Healthcare,Healthcare,Science Club,Healthcare
S0188,15,Female,Private,Urban,90,93,79,78,79,14,Primary,6488,No,Business,Business,Sports,STEM
S0189,15,Male,Private,Urban,61,55,50,86,57,13,Tertiary,2206,Yes,Humanities,Education,Science Club,Humanities
S0190,17,Female,Private,Rural,80,54,71,100,81,15,Primary,7134,No,STEM,Business,Sports,Healthcare
S0191,16,Male,Public,Rural,81,68,89,60,59,13,Secondary,7977,No,Arts,Technology,None,Humanities
S0192,19,Female,Public,Urban,70,49,89,82,45,19,Tertiary,9721,No,Arts,Healthcare,Science Club,STEM
S0193,18,Male,Private,Urban,76,90,58,100,51,22,Primary,9035,Yes,Healthcare,Business,Sports,Humanities
S0194,16,Female,Public,Rural,57,47,90,46,41,19,Secondary,3484,No,Business,Business,Sports,Business
S0195,18,Female,Public,Rural,78,60,85,40,46,5,Secondary,9858,Yes,Arts,Education,Science Club,Arts
S0196,17,Male,Public,Rural,84,80,48,62,55,22,Tertiary,9742,Yes,STEM,Education,Sports,STEM
S0197,17,Female,Private,Rural,99,63,72,57,42,15,Primary,2863,Yes,STEM,Arts,Sports,Humanities
S0198,15,Male,Private,Urban,51,86,86,95,84,23,Primary,4790,No,STEM,Business,None,STEM
S0199,19,Male,Private,Urban,65,90,80,81,42,27,Tertiary,9408,Yes,STEM,Technology,Entrepreneurship Club,Business
S0200,18,Male,Private,Rural,92,57,91,74,66,23,Primary,2563,No,Humanities,Business,Science Club,Humanities
S0201,16,Female,Public,Urban,90,93,50,96,89,22,Tertiary,7116,No,Humanities,Business,Music,STEM
S0202,17,Male,Public,Urban,91,79,80,75,82,8,Secondary,6191,No,Healthcare,Technology,Sports,Healthcare
S0203,15,Male,Public,Urban,62,93,60,76,79,27,Tertiary,8019,No,Business,Business,Science Club,Arts
S0204,15,Male,Public,Urban,46,59,100,38,77,19,Primary,3757,Yes,Arts,Business,Entrepreneurship Club,Arts
S0205,18,Female,Private,Urban,78,58,67,48,72,7,Secondary,8628,No,Humanities,Business,Entrepreneurship Club,STEM
S0206,17,Male,Private,Urban,94,48,68,58,67,11,Primary,9574,No,Arts,Arts,None,Arts
S0207,19,Female,Private,Rural,85,43,77,57,40,8,Secondary,8374,No,Business,Healthcare,Music,STEM
S0208,17,Male,Private,Urban,100,66,56,95,94,6,Tertiary,8892,No,STEM,Business,Sports,Healthcare
S0209,18,Male,Private,Urban,59,69,91,96,47,17,Primary,3678,Yes,STEM,Business,Science Club,Humanities
S0210,18,Male,Private,Urban,82,75,89,64,76,27,Tertiary,5242,Yes,STEM,Education,None,Business
S0211,17,Male,Public,Rural,78,59,78,95,71,19,Primary,6636,Yes,Arts,Business,None,Humanities
S0212,18,Male,Private,Rural,84,83,87,72,87,17,Primary,3059,Yes,STEM,Business,Science Club,Arts
S0213,17,Female,Public,Urban,63,60,98,74,82,10,Secondary,8668,Yes,Business,Education,Science Club,Business
S0214,16,Male,Public,Urban,96,86,78,90,76,11,Tertiary,7279,Yes,STEM,Technology,None,STEM
S0215,17,Female,Public,Urban,68,69,53,79,43,28,Primary,3722,No,Healthcare,Healthcare,Entrepreneurship Club,Arts
S0216,17,Male,Public,Urban,73,62,58,41,69,14,Primary,5314,Yes,Arts,Business,Science Club,Arts
S0217,18,Female,Public,Urban,79,55,81,60,45,9,Tertiary,5157,Yes,Arts,Education,Music,Arts
S0218,18,Male,Public,Rural,64,97,85,78,85,23,Tertiary,7915,No,Healthcare,Technology,Entrepreneurship Club,Business
S0219,15,Female,Public,Urban,83,80,78,72,93,20,Primary,4625,Yes,Healthcare,Business,None,Healthcare
S0220,15,Male,Public,Urban,56,70,51,89,58,18,Secondary,4729,Yes,STEM,Arts,Science Club,STEM
S0221,16,Male,Public,Urban,84,93,60,48,71,8,Secondary,8700,Yes,STEM,Education,Entrepreneurship Club,Healthcare
S0222,15,Female,Public,Urban,85,92,62,56,48,26,Tertiary,3597,No,Humanities,Healthcare,Science Club,Humanities
S0223,17,Female,Public,Urban,51,42,87,60,51,26,Tertiary,5060,Yes,Humanities,Arts,Science Club,Arts
S0224,18,Male,Public,Urban,91,84,100,88,50,8,Tertiary,4693,Yes,Healthcare,Business,Entrepreneurship Club,Healthcare
S0225,15,Male,Private,Urban,43,100,79,62,85,29,Primary,6891,Yes,Healthcare,Education,Sports,Business
S0226,15,Male,Private,Rural,78,43,91,100,94,25,Tertiary,7147,Yes,Arts,Healthcare,Music,Healthcare
S0227,16,Male,Private,Urban,45,60,85,66,55,10,Primary,7739,No,Business,Technology,None,Business
S0228,16,Female,Private,Urban,40,89,82,61,40,26,Primary,5627,No,Arts,Arts,Sports,Healthcare
S0229,17,Male,Private,Urban,100,75,55,67,84,14,Primary,3363,Yes,Business,Healthcare,Sports,Arts
S0230,18,Female,Private,Rural,92,56,54,52,94,3,Primary,9965,No,Healthcare,Arts,None,Arts
S0231,16,Male,Private,Urban,68,62,89,92,92,12,Primary,3981,Yes,STEM,Healthcare,Entrepreneurship Club,Healthcare
S0232,15,Female,Private,Urban,67,78,57,59,60,3,Primary,7450,Yes,STEM,Healthcare,Entrepreneurship Club,Healthcare
S0233,18,Male,Private,Urban,48,64,50,69,69,7,Tertiary,3663,No,Arts,Arts,None,Business
S0234,18,Female,Public,Urban,90,100,55,45,52,26,Secondary,3529,No,Healthcare,Healthcare,Science Club,STEM
S0235,15,Male,Private,Urban,96,82,83,51,73,11,Tertiary,4038,Yes,Humanities,Business,Music,Humanities
S0236,16,Male,Private,Urban,98,79,86,70,43,27,Tertiary,9515,Yes,Arts,Arts,None,Business
S0237,15,Male,Private,Rural,77,79,35,49,67,8,Tertiary,7592,Yes,Arts,Education,Entrepreneurship Club,Healthcare
S0238,18,Female,Public,Rural,55,59,76,96,77,18,Primary,5302,No,STEM,Education,Entrepreneurship Club,Business
S0239,19,Female,Private,Rural,71,84,87,92,70,9,Secondary,4237,No,Healthcare,Education,Sports,Arts
S0240,19,Female,Public,Urban,45,57,63,60,94,28,Secondary,9392,No,STEM,Education,Music,Business
S0241,17,Male,Private,Rural,94,78,51,68,66,18,Tertiary,7504,No,Humanities,Healthcare,Entrepreneurship Club,STEM
S0242,15,Male,Public,Rural,68,49,48,89,44,22,Tertiary,7496,No,Arts,Technology,Sports,Arts
S0243,15,Female,Private,Urban,46,88,46,51,64,20,Primary,3306,No,Business,Technology,Science Club,Humanities
S0244,17,Male,Public,Rural,100,50,97,84,42,10,Primary,6029,No,Business,Technology,Science Club,Arts
